"Ticker","Sector","Industry","Market Cap","P/S","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Return on Investment","Gross Margin","Operating Margin","Profit Margin","Price","Target Price"
"AGGY","Financial","Exchange Traded Fund",,,,,,,,,,,51.65,
"AGI","Basic Materials","Gold",,,420.00%,-41.79%,,,,,,,8.42,10.21
"AGII","Financial","Property & Casualty Insurance",1722.72,1.14,2.26%,19.00%,7.00%,1.60%,8.10%,,11.00%,8.90%,56.06,60.00
"AGIO","Healthcare","Biotechnology",1894.34,37.89,-5.20%,0.00%,,,-34.40%,,,,45.89,62.83
"AGM","Financial","Credit Services",444.97,1.56,3.48%,15.00%,8.00%,2.10%,0.50%,45.90%,38.10%,16.00%,40.86,40.00
"AGN","Healthcare","Drugs - Generic",99766.31,6.49,21.93%,-50.40%,13.49%,33.40%,-1.30%,78.70%,-16.50%,27.00%,246.33,299.06
"AGNC","Financial","REIT - Residential",6644.55,,-0.64%,-41.60%,-3.85%,12.30%,0.40%,,,,19.36,19.87
"AGND","Financial","Exchange Traded Fund",,,,,,,,,,,42.63,
"AGO","Financial","Surety & Title Insurance",3667.41,2.00,-17.56%,22.50%,3.00%,11.00%,15.70%,,61.30%,41.50%,27.56,35.75
"AGQ","Financial","Exchange Traded Fund",,,,,,,,,,,47.39,
"AGR","Utilities","Gas Utilities",13166.18,2.48,9.88%,-9.80%,9.00%,-3.50%,2.40%,79.70%,17.20%,8.70%,41.25,48.00
"AGRO","Consumer Goods","Farm Products",1352.09,1.74,43.54%,17.70%,0.90%,12.40%,12.60%,32.40%,15.30%,-1.70%,10.68,14.53
"AGRX","Healthcare","Drugs - Generic",212.63,,3.20%,0.00%,,,,,,,7.09,16.17
"AGTC","Healthcare","Biotechnology",163.87,4.55,-125.00%,0.00%,,,-28.70%,,-34.90%,-33.60%,8.62,26.00
"AGU","Basic Materials","Agricultural Chemicals",12500.60,0.89,13.96%,8.50%,1.23%,6.60%,10.90%,26.10%,10.20%,6.20%,89.61,94.09
"AGX","Industrial Goods","Heavy Construction",833.83,1.59,9.65%,27.10%,,17.70%,22.50%,23.30%,17.40%,9.40%,53.90,51.67
"AGYS","Technology","Application Software",259.47,2.10,175.00%,30.20%,15.00%,-9.90%,-3.50%,54.80%,-5.10%,-4.70%,10.87,14.00
"AGZ","Financial","Exchange Traded Fund",,,,,,,,,,,115.11,
"AGZD","Financial","Exchange Traded Fund",,,,,,,,,,,47.76,
"AHC","Services","Publishing - Newspapers",134.67,0.50,27.27%,32.40%,,-11.00%,-14.20%,89.80%,-4.40%,-6.60%,6.29,3.00
"AHGP","Basic Materials","Nonmetallic Mineral Mining",1454.40,0.74,-36.92%,3.90%,14.00%,7.10%,26.00%,38.90%,14.20%,8.20%,23.87,43.00
"AHH","Financial","REIT - Diversified",694.72,2.72,-55.84%,-35.00%,,13.30%,6.10%,26.50%,10.70%,10.70%,13.00,15.40
"AHL","Financial","Property & Casualty Insurance",2765.25,0.94,25.29%,4.60%,-2.42%,4.60%,11.40%,,15.90%,9.80%,44.68,49.00
"AHP","Financial","REIT - Hotel/Motel",385.85,0.99,2700.00%,17.30%,14.40%,15.10%,3.90%,40.30%,10.40%,-3.80%,14.50,14.58
"AHPI","Healthcare","Medical Appliances & Equipment",4.80,0.14,,-24.40%,,-5.10%,-8.30%,19.10%,-7.40%,-7.20%,0.59,4.51
"AHS","Healthcare","Specialized Health Services",1733.42,1.00,10.25%,25.50%,12.00%,16.90%,18.50%,32.70%,9.80%,6.10%,34.71,49.44
"AHT","Financial","REIT - Hotel/Motel",623.69,0.42,1.30%,36.80%,5.00%,10.60%,10.90%,32.10%,13.30%,-3.60%,6.07,6.53
"AI","Financial","Mortgage Investment",353.99,177.00,-5.93%,-23.70%,,-44.70%,-2.00%,,,,14.83,15.04
"AIA","Financial","Exchange Traded Fund",,,,,,,,,,,48.98,
"AIG","Financial","Property & Casualty Insurance",63125.45,1.17,37.48%,-58.20%,18.64%,-4.80%,3.00%,,1.20%,-0.60%,58.59,64.38
"AIII","Financial","REIT - Retail",27.29,173830.58,,34.10%,,,,,,,1.22,
"AIMC","Industrial Goods","Industrial Electrical Equipment",726.56,1.01,15.59%,8.00%,15.10%,7.50%,10.20%,31.00%,8.60%,4.80%,26.87,31.80
"AIMT","Healthcare","Biotechnology",716.30,,-32.70%,0.00%,,,,,,,15.65,38.33
"AIN","Industrial Goods","Textile Industrial",1377.80,1.88,34.95%,15.20%,15.00%,-0.90%,9.10%,40.80%,11.00%,9.70%,40.86,53.50
"AINC","Financial","Asset Management",91.91,1.46,16.93%,45.90%,,,-10.30%,,1.20%,-0.20%,45.50,50.00
"AINV","Financial","Asset Management",1377.01,3.88,4.46%,-17.10%,3.00%,1.10%,6.50%,55.30%,50.30%,-26.20%,6.01,5.73
"AIQ","Healthcare","Medical Laboratories & Research",68.73,0.14,,17.10%,,-0.20%,12.50%,43.50%,12.80%,1.70%,6.30,
"AIR","Industrial Goods","Aerospace/Defense Products & Services",992.76,0.60,21.10%,-7.80%,16.37%,-1.60%,4.60%,14.20%,3.90%,2.80%,28.06,31.00
"AIRG","Technology","Communication Equipment",116.81,3.82,54.72%,0.00%,,,0.80%,42.00%,,,15.35,14.50
"AIRI","Industrial Goods","Aerospace/Defense Products & Services",36.46,0.46,,47.90%,,10.60%,1.20%,20.20%,-1.80%,-2.70%,4.58,11.00
"AIRM","Services","Air Services, Other",1197.13,1.04,16.49%,19.60%,17.50%,14.10%,10.20%,40.70%,19.00%,10.20%,31.67,48.38
"AIRR","Financial","Exchange Traded Fund",,,,,,,,,,,19.40,
"AIRT","Services","Air Delivery & Freight Services",43.52,0.28,,18.90%,,12.20%,9.90%,21.80%,-0.90%,1.30%,20.24,
"AIT","Services","Industrial Equipment Wholesale",1877.28,0.75,6.21%,-19.60%,6.70%,2.60%,4.00%,28.10%,3.50%,1.20%,46.85,46.67
"AIV","Financial","REIT - Residential",7135.40,7.21,-64.21%,17.20%,7.10%,0.50%,5.30%,64.40%,26.00%,33.40%,43.84,47.86
"AIXG","Industrial Goods","Diversified Machinery",712.49,3.67,,-16.40%,,-24.10%,-7.50%,27.50%,-15.00%,-16.40%,6.18,3.50
"AIZ","Financial","Accident & Health Insurance",5333.44,0.59,20.25%,-3.90%,11.90%,3.90%,3.50%,,7.80%,5.00%,87.88,98.67
"AJG","Financial","Insurance Brokers",9056.62,1.64,10.39%,5.80%,9.58%,23.70%,8.10%,30.10%,7.80%,7.10%,50.02,52.50
"AJRD","Industrial Goods","Aerospace/Defense - Major Diversified",1258.43,0.74,41.10%,-36.50%,20.00%,14.80%,6.50%,13.30%,1.10%,-1.20%,17.63,26.00
"AJX","Financial","REIT - Diversified",257.37,4.02,20.76%,0.00%,,,5.20%,53.70%,48.80%,46.70%,13.28,16.50
"AKAM","Technology","Internet Information Providers",9148.21,4.03,11.26%,14.50%,13.17%,16.50%,8.90%,65.80%,20.40%,14.30%,51.38,60.28
"AKAO","Healthcare","Biotechnology",119.55,4.96,23.60%,0.00%,,,-46.10%,,,,4.40,10.33
"AKBA","Healthcare","Biotechnology",330.84,,6.70%,0.00%,,,,,,,8.58,15.71
"AKER","Healthcare","Medical Instruments & Supplies",17.49,7.61,,0.00%,,,-142.60%,63.10%,,,3.43,11.00
"AKG","Basic Materials","Gold",912.56,22.15,976.00%,43.20%,,,,0.80%,,-47.30%,4.21,5.82
